month,regional_team,chemical,bnf_name,items,quantity,total_list_size,rate
2020-01-01,Y59,Atorvastatin,Atorvastatin 40mg tablets,149297,5356722.0,9405869,0.015872749237736565
2020-01-01,Y56,Atorvastatin,Atorvastatin 60mg tablets,207,7483.0,10249920,2.019527957291374e-05
2020-01-01,Y56,Atorvastatin,Lipitor 20mg chewable tablets,6,340.0,10249920,5.853704224032968e-07
2020-01-01,Y62,Atorvastatin,Atorvastatin 20mg/5ml oral suspension,16,5970.0,7571377,2.1132219410022775e-06
2020-01-01,Y62,Atorvastatin,Atorvastatin 10mg/5ml oral liquid,1,200.0,7571377,1.3207637131264234e-07
2020-01-01,Y59,Atorvastatin,Lipitor 80mg tablets,127,4172.0,9405869,1.3502208036280326e-05
2020-01-01,Y60,Atorvastatin,Atorvastatin 20mg/5ml oral solution,3,850.0,11338801,2.6457823891608997e-07
2020-01-01,Y58,Atorvastatin,Atorvastatin 30mg tablets,38,1498.0,5874580,6.468547538717662e-06
2020-01-01,Y58,Atorvastatin,Lipitor 20mg chewable tablets,7,264.0,5874580,1.191574546605885e-06
2020-01-01,Y58,Atorvastatin,Atorvastatin 20mg/5ml oral suspension,10,1500.0,5874580,1.7022493522941215e-06
2020-01-01,Y61,Atorvastatin,Atorvastatin 10mg chewable tablets sugar free,45,1409.0,6948512,6.476206704399445e-06
2020-01-01,Y58,Atorvastatin,Atorvastatin 60mg tablets,118,4330.0,5874580,2.008654235707063e-05
2020-01-01,Y63,Atorvastatin,Lipitor 80mg tablets,72,2464.0,8933862,8.059224554845374e-06
2020-01-01,Y56,Atorvastatin,Atorvastatin 20mg chewable tablets sugar free,95,2797.0,10249920,9.268365021385532e-06
2020-01-01,Y60,Atorvastatin,Atorvastatin 30mg tablets,150,5326.0,11338801,1.3228911945804498e-05
2020-01-01,Y61,Atorvastatin,Atorvastatin 40mg tablets,128149,3939326.0,6948512,0.018442653621379656
2020-01-01,Y56,Atorvastatin,Atorvastatin 10mg chewable tablets sugar free,48,1653.0,10249920,4.682963379226375e-06
2020-01-01,Y56,Atorvastatin,Atorvastatin 80mg tablets,69463,1802341.0,10249920,0.006776930941900034
2020-01-01,Y60,Atorvastatin,Atorvastatin 60mg tablets,303,9051.0,11338801,2.672240213052509e-05
2020-01-01,Y60,Atorvastatin,Atorvastatin 20mg/5ml oral suspension,39,10130.0,11338801,3.43951710590917e-06
2020-01-01,Y56,Atorvastatin,Lipitor 10mg chewable tablets,9,466.0,10249920,8.780556336049452e-07
2020-01-01,Y60,Atorvastatin,Lipitor 20mg chewable tablets,17,574.0,11338801,1.4992766871911766e-06
2020-01-01,Y58,Atorvastatin,Atorvastatin 40mg tablets,112141,3568208.0,5874580,0.019089194461561508
2020-01-01,Y63,Atorvastatin,Atorvastatin 20mg tablets,358938,10879375.0,8933862,0.0401772492120429
2020-01-01,Y62,Atorvastatin,Lipitor 20mg chewable tablets,8,408.0,7571377,1.0566109705011387e-06
2020-01-01,Y59,Atorvastatin,Lipitor 40mg tablets,534,18326.0,9405869,5.677306371160389e-05
2020-01-01,Y56,Atorvastatin,Atorvastatin 20mg/5ml oral solution,3,900.0,10249920,2.926852112016484e-07
2020-01-01,Y59,Atorvastatin,Atorvastatin 20mg chewable tablets sugar free,164,7797.0,9405869,1.743592218858247e-05
2020-01-01,Y60,Atorvastatin,Atorvastatin 10mg/5ml oral liquid,7,1850.0,11338801,6.173492241375433e-07
2020-01-01,Y59,Atorvastatin,Atorvastatin 20mg/5ml oral suspension,14,4280.0,9405869,1.488432381952162e-06
2020-01-01,Y62,Atorvastatin,Atorvastatin 30mg tablets,54,1974.0,7571377,7.132124050882686e-06
2020-01-01,Y61,Atorvastatin,Lipitor 10mg tablets,569,18977.0,6948512,8.188803588451743e-05
2020-01-01,Y63,Atorvastatin,Atorvastatin 10mg chewable tablets sugar free,95,2731.0,8933862,1.063369906542098e-05
2020-01-01,Y61,Atorvastatin,Atorvastatin 20mg/5ml oral suspension,17,3220.0,6948512,2.4465669772175684e-06
2020-01-01,Y56,Atorvastatin,Lipitor 10mg tablets,393,18577.0,10249920,3.834176266741594e-05
2020-01-01,Y58,Atorvastatin,Atorvastatin 10mg chewable tablets sugar free,26,960.0,5874580,4.4258483159647155e-06
2020-01-01,Y63,Atorvastatin,Lipitor 10mg chewable tablets,6,200.0,8933862,6.716020462371144e-07
2020-01-01,Y56,Atorvastatin,Atorvastatin 10mg/5ml oral liquid,1,300.0,10249920,9.756173706721614e-08
2020-01-01,Y58,Atorvastatin,Lipitor 20mg tablets,327,11419.0,5874580,5.566355382001777e-05
2020-01-01,Y63,Atorvastatin,Lipitor 40mg tablets,202,6839.0,8933862,2.2610602223316186e-05
2020-01-01,Y59,Atorvastatin,Atorvastatin 10mg chewable tablets sugar free,69,2666.0,9405869,7.335845311049941e-06
2020-01-01,Y59,Atorvastatin,Atorvastatin 60mg tablets,227,7595.0,9405869,2.4133867907367198e-05
2020-01-01,Y61,Atorvastatin,Lipitor 20mg chewable tablets,5,206.0,6948512,7.195785227110495e-07
2020-01-01,Y61,Atorvastatin,Atorvastatin 30mg tablets,154,5103.0,6948512,2.2163018499500323e-05
2020-01-01,Y56,Atorvastatin,Atorvastatin 20mg tablets,229468,8440692.0,10249920,0.02238729668133995
2020-01-01,Y62,Atorvastatin,Atorvastatin 40mg tablets,155723,4886074.0,7571377,0.020567328769918604
2020-01-01,Y58,Atorvastatin,Atorvastatin 10mg tablets,55894,1883369.0,5874580,0.009514552529712762
2020-01-01,Y56,Atorvastatin,Atorvastatin 30mg tablets,78,3273.0,10249920,7.609815491242859e-06
2020-01-01,Y61,Atorvastatin,Atorvastatin 20mg tablets,212745,6849096.0,6948512,0.030617346562832444
2020-01-01,Y62,Atorvastatin,Atorvastatin 20mg tablets,263652,8731421.0,7571377,0.03482219944932078
2020-01-01,Y62,Atorvastatin,Lipitor 40mg tablets,254,9394.0,7571377,3.354739831341115e-05
2020-01-01,Y60,Atorvastatin,Atorvastatin 10mg tablets,128642,4327575.0,11338801,0.011345291270214549
2020-01-01,Y56,Atorvastatin,Lipitor 40mg tablets,227,10066.0,10249920,2.2146514314258064e-05
2020-01-01,Y63,Atorvastatin,Lipitor 20mg tablets,355,13332.0,8933862,3.973645440236261e-05
2020-01-01,Y58,Atorvastatin,Atorvastatin 20mg tablets,181201,6166620.0,5874580,0.03084492848850471
2020-01-01,Y60,Atorvastatin,Lipitor 20mg tablets,613,21123.0,11338801,5.406215348518772e-05
2020-01-01,Y61,Atorvastatin,Atorvastatin 80mg tablets,46669,1378868.0,6948512,0.006716402015280394
2020-01-01,Y60,Atorvastatin,Lipitor 40mg tablets,371,12474.0,11338801,3.27195088792898e-05
2020-01-01,Y63,Atorvastatin,Atorvastatin 10mg/5ml oral liquid,1,100.0,8933862,1.1193367437285241e-07
2020-01-01,Y58,Atorvastatin,Lipitor 40mg tablets,258,8554.0,5874580,4.3918033289188336e-05
2020-01-01,Y56,Atorvastatin,Atorvastatin 10mg tablets,69205,2638231.0,10249920,0.006751760013736692
2020-01-01,Y60,Atorvastatin,Atorvastatin 80mg tablets,94917,2950410.0,11338801,0.008370990901066171
