month,regional_team,chemical,practice,bnf_name,items,quantity
2024-02-01,Y61,Inclisiran,F81095,Leqvio 284mg/1.5ml inj pre-filled syringes,25,25.0
2024-05-01,Y60,Inclisiran,C84120,Inclisiran 284mg/1.5ml inj pre-filled syringes,13,13.0
2024-12-01,Y60,Inclisiran,C82024,Leqvio 284mg/1.5ml inj pre-filled syringes,12,12.0
2024-10-01,Y63,Inclisiran,B82098,Leqvio 284mg/1.5ml inj pre-filled syringes,11,11.0
2025-08-01,Y62,Inclisiran,N81024,Inclisiran 284mg/1.5ml inj pre-filled syringes,13,13.0
2024-09-01,Y62,Inclisiran,N81049,Inclisiran 284mg/1.5ml inj pre-filled syringes,14,14.0
2024-06-01,Y61,Inclisiran,D83084,Leqvio 284mg/1.5ml inj pre-filled syringes,18,18.0
2024-06-01,Y63,Inclisiran,B83055,Inclisiran 284mg/1.5ml inj pre-filled syringes,17,17.0
2023-12-01,Y59,Inclisiran,G82687,Inclisiran 284mg/1.5ml inj pre-filled syringes,22,22.0
2024-01-01,Y61,Inclisiran,F81095,Leqvio 284mg/1.5ml inj pre-filled syringes,12,12.0
2024-07-01,Y60,Inclisiran,M85033,Inclisiran 284mg/1.5ml inj pre-filled syringes,11,11.0
2023-04-01,Y60,Inclisiran,C82012,Inclisiran 284mg/1.5ml inj pre-filled syringes,16,16.0
2025-07-01,Y58,Inclisiran,L85024,Inclisiran 284mg/1.5ml inj pre-filled syringes,12,12.0
2023-12-01,Y62,Inclisiran,N83608,Inclisiran 284mg/1.5ml inj pre-filled syringes,16,16.0
2024-02-01,Y63,Inclisiran,B83063,Inclisiran 284mg/1.5ml inj pre-filled syringes,45,45.0
2023-12-01,Y63,Inclisiran,B83063,Inclisiran 284mg/1.5ml inj pre-filled syringes,13,13.0
2024-07-01,Y63,Inclisiran,B87008,Inclisiran 284mg/1.5ml inj pre-filled syringes,15,15.0
2024-11-01,Y58,Inclisiran,L83006,Inclisiran 284mg/1.5ml inj pre-filled syringes,14,14.0
2024-03-01,Y60,Inclisiran,Y01929,Inclisiran 284mg/1.5ml inj pre-filled syringes,17,17.0
2024-01-01,Y63,Inclisiran,B81068,Inclisiran 284mg/1.5ml inj pre-filled syringes,11,11.0
